variable_location,data_product,data_table,provided_variable,variable, note
column_name,ISCN3,dataset,soc_lcount_ISCN,soil_organic_carbon_ISCN_count,NA
column_name,ISCN3,layer,layer_bot (cm),depth_max,NA
column_name,ISCN3,profile,carbon_lcount,carbon_count,NA
column_name,ISCN3,dataset,total_lcount,total_count,NA
column_name,ISCN3,profile,total_lcount,total_count,NA
column_name,ISCN3,layer,layer_name,layer_name,NA
column_name,ISCN3,layer,layer_note,layer_note,NA
column_name,ISCN3,dataset,soc_lcount,soil_organic_carbon_count,NA
column_name,ISCN3,profile,soc_lcount,soil_organic_carbon_count,NA
column_name,ISCN3,layer,layer_top (cm),depth_min,NA
column_name,ISCN3,profile,locator_alias,locator_alias,NA
column_name,ISCN3,profile,locator_parent_alias,locator_parent_alias,NA
column_name,ISCN3,layer,locator_parent_alias,locator_parent_alias,NA
column_name,ISCN3,layer,loi (percent),loss_on_ignition,NA
column_name,ISCN3,profile,long (dec. deg),longitude,NA
column_name,ISCN3,layer,long (dec. deg),longitude,NA
column_name,ISCN3,profile,map (mm),mean_annual_precipitation,NA
column_name,ISCN3,profile,mat (°C),mean_annual_temperature,NA
column_name,ISCN3,layer,mg_ext (specified by bc_units),magnesium_extractable,NA
column_name,ISCN3,layer,bc_units (extract_units),magnesium_extractable,NA
column_name,ISCN3,layer,bc_method,magnesium_extractable,NA
column_name,ISCN3,layer,mn_dith (specified by al_fe_units),manganese_dithionate,NA
column_name,ISCN3,layer,mn_other (specified by al_fe_units),manganese_other,NA
column_name,ISCN3,layer,mn_ox (specified by al_fe_units),manganese_oxalate,NA
column_name,ISCN3,citation,modification_date (YYYY-MM-DD),modification_date,NA
column_name,ISCN3,dataset,modification_date (YYYY-MM-DD),modification_date,NA
column_name,ISCN3,layer,n_tot (percent),nitrogen_total,NA
column_name,ISCN3,layer,na_ext (specified by bc_units),sodium_ extractable,NA
column_name,ISCN3,layer,bc_units (extract_units),sodium_ extractable,NA
column_name,ISCN3,layer,bc_method,sodium_ extractable,NA
column_name,ISCN3,profile,observation_date (YYYY-MM-DD),observation_date,NA
column_name,ISCN3,layer,observation_date (YYYY-MM-DD),observation_date,NA
column_name,ISCN3,layer,oc (percent),carbon_organic,NA
column_name,ISCN3,layer,p_bray (specified by p_units),phosphorus_extractable_bray,NA
column_name,ISCN3,layer,p_meh (specified by p_units),phosphorus_extractable_meh,NA
column_name,ISCN3,layer,p_other (specified by p_units),phosphorus_extractable_other,NA
column_name,ISCN3,layer,p_ox (specified by p_units),phosphorus_extractable_oxalate,NA
column_name,ISCN3,layer,p_units (extract_units),phosphorus_extractable_units,NA
column_name,ISCN3,layer,p_method,phosphorus_extractable_method,NA
column_name,ISCN3,layer,ph_method,pH,NA
column_name,ISCN3,layer,ph_cacl,pH,NA
column_name,ISCN3,layer,ph_h2o,pH,NA
column_name,ISCN3,layer,ph_other,pH,NA
column_name,ISCN3,dataset,soc_pcount_ISCN,soil_organic_carbon_ISCN_count,NA
column_name,ISCN3,profile,layer_bot (cm),depth_max,NA
column_name,ISCN3,dataset,total_pcount,total_count,NA
column_name,ISCN3,profile,profile_name,profile_name,NA
column_name,ISCN3,layer,profile_name,profile_name,NA
column_name,ISCN3,profile,dataset_name_soc,soil_organic_carbon,NA
column_name,ISCN3,profile,soc (g cm-2),soil_organic_carbon,NA
column_name,ISCN3,profile,soc_method,soil_organic_carbon,NA
column_name,ISCN3,profile,soc_carbon_flag,soil_organic_carbon,NA
column_name,ISCN3,dataset,soc_pcount,soil_organic_carbon_count,NA
column_name,ISCN3,profile,soc_depth (cm),soil_organic_carbon_depth,NA
column_name,ISCN3,profile,soc_spatial_flag,soil_organic_carbon_spatial_flag,NA
column_name,ISCN3,profile,layer_top (cm),depth_min,NA
column_name,ISCN3,profile,profile_zero_ref (profile_zero_ref),zero_reference,NA
column_name,ISCN3,citation,reference,reference,NA
column_name,ISCN3,layer,root_quant_size,root_quant_size,NA
column_name,ISCN3,layer,root_weight (g),root_weight,NA
column_name,ISCN3,profile,runoff (runoff),runoff,NA
column_name,ISCN3,layer,sand_tot_psa (percent),sand,NA
column_name,ISCN3,layer,silt_tot_psa (percent),silt,NA
column_name,ISCN3,dataset,soc_scount_ISCN,soil_organic_carbon_ISCN_count,NA
column_name,ISCN3,dataset,total_scount,total_site_count,NA
column_name,ISCN3,profile,site_name,site,NA
column_name,ISCN3,layer,site_name,site,NA
column_name,ISCN3,profile,site_note,site_description,NA
column_name,ISCN3,profile,site_perm (site_perm),site_permeability,NA
column_name,ISCN3,dataset,soc_scount,soil_organic_carbon_count,NA
column_name,ISCN3,profile,slope (percent),slope,NA
column_name,ISCN3,layer,dataset_name_soc,soil_organic_carbon,NA
column_name,ISCN3,layer,soc (g cm-2),soil_organic_carbon,NA
column_name,ISCN3,layer,soc_carbon_flag,soil_organic_carbon,NA
column_name,ISCN3,layer,soc_method,soil_organic_carbon,NA
column_name,ISCN3,profile,soil_series,soil_series,NA
column_name,ISCN3,layer,soil_series,soil_series,NA
column_name,ISCN3,profile,soil_taxon,soil_taxon,NA
column_name,ISCN3,layer,soil_taxon,soil_taxon,NA
column_name,ISCN3,profile,state (state_province),state,NA
column_name,ISCN3,layer,state (state_province),state,NA
column_name,ISCN3,profile,surface_veg,surface_vegetation,NA
column_name,ISCN3,layer,textureClass,soil_texture_class,NA
column_name,ISCN3,profile,thaw_depth_profile (cm),thaw_depth,NA
column_name,ISCN3,profile,vegclass_local,vegetation_class,NA
column_name,ISCN3,layer,vegclass_local,vegetation_class,NA
column_name,ISCN3,layer,wpg2_method,coarse_fraction,NA
