table,header,description_header,variable,description_variable,type,entry
layer,hzn_desgn_other_note,Horizon Designation Other Note -,hzn_desgn_other,NA,note,
layer,layer_note,Soil Layer Notes -,layer_note,NA,value,
layer,c_method,Bulk Layer Carbon Analysis Method -,soc,NA,method,
layer,c_method,,c_tot,,method,
layer,color,Moist Munsell Color -,color,soil color,value,
layer,burn_ev,Evidence of Burning - (burn),burn_ev,NA,value,
layer,bd_method,Bulk Density Method -,bulk_density_sample,NA,method,
layer,bd_method,Bulk Density Method -,bulk_density_tot,NA,method,
layer,bd_method,Bulk Density Method -,bulk_density_whole,NA,method,
layer,bd_method,Bulk Density Method -,bulk_density_other,NA,method,
layer,bd_samp,"Bulk Density, Coarse Fragments Removed - g cm-3",bulk_density_sample,bulk density of the <2mm (fine earth) over-dried fraction,value,
layer,bd_tot,Bulk Density With Coarse Fragments - g cm-3,bulk_density_tot,whole soil bulk density - includes fine earth fraction and rocks,value,
layer,bd_whole,Bulk Density Minus Estimated Coarse Fragments - g cm-3,bulk_density_whole,whole soil bulk density by clod method at 1/3 bar moisture content,value,
layer,bd_other,Bulk Density Other - g cm-3,bulk_density_other,non-standard,value,
layer,,,bulk_density_sample,,unit,g cm-3
layer,,,bulk_density_tot,,unit,g cm-2
layer,,,bulk_density_whole,,unit,g cm-1
layer,,,bulk_density_other,,unit,g cm0
layer,ph_method,pH Method -,ph_cacl,NA,method,
layer,ph_method,pH Method -,ph_h2o,NA,method,
layer,ph_method,pH Method -,ph_other,NA,method,
layer,ph_cacl,Soil pH CaCl2 -,ph_cacl,pH from 1:2 Soil-CaCl2 suspension,value,
layer,ph_h2o,Soil pH 1:1 -,ph_h2o,pH from 1:1 Soil-water suspension,value,
layer,ph_other,Soil pH Other -,ph_other,pH non-standard,value,
layer,caco3,CaCO3 - percent,caco3,Percent inorganic carbon,value,
layer,,,caco3,,unit,percent
layer,sand_tot_psa,Percent Sand - percent,sand_tot_psa,percentage of sand,value,
layer,silt_tot_psa,Percent Silt - percent,silt_tot_psa,percentage of silt,value,
layer,clay_tot_psa,Percent Clay - percent,clay_tot_psa,percentage of clay,value,
layer,wpg2_method,Coarse Fragments Method -,wpg2,NA,method,
layer,wpg2,Coarse Fragments - percent,wpg2,coarse fragment (>2mm) content by weight,value,
layer,,,sand_tot_psa,,unit,percent
layer,,,silt_tot_psa,,unit,percent
layer,,,clay_tot_psa,,unit,percent
layer,,,wpg2,,unit,mass percent
layer,cat_exch,Cation Exchange Capacity - cmol H+ kg-1,cat_exch,NA,value,
layer,,,cat_exch,,unit,cmol H+ kg-1
layer,gwc,Gravimentric % Moisture - percent,gwc,NA,value,
layer,,,gwc,,unit,mass percent
layer,,,vwc,,unit,volume percent
layer,vwc,Volumetric % Moisture - percent,vwc,NA,value,
layer,soc,Bulk Layer Calculated Soil Organic Carbon Stock - g cm-2,soc,soil organic carbon,value,
layer,,,soc,,value,g cm-2
layer,soc_type,Bulk Layer Calculated Soil Organic Carbon Stock Type - (ccon_type),soc,NA,method,
layer,soc_sigma,Bulk Layer Calculated Soil Organic Carbon Stock Standard Deviation - g cm-2,soc,NA,sigma,
layer,soc_method,Bulk Layer Calculated Soil Organic Carbon Stock Method -,soc,NA,method,
layer,c_tot,Bulk Layer Total Carbon - percent,c_tot,carbon concentration in a dry combustion analysis,value,
layer,,,c_tot,,method,carbon concentration in a dry combustion analysis
layer,,,c_tot,,unit,mass percent
layer,oc,Bulk Layer Organic Carbon - percent,oc,organic carbon either acidification+dry combustion or Walkly-Black,value,
layer,,,oc,,method,organic carbon either acidification+dry combustion or Walkly-Black
layer,,,oc,,unit,mass percent
layer,n_tot,Bulk Layer Total Nitrogen - percent,n_tot,total nitrogen,value,
layer,,,n_tot,,unit,mass percent
layer,c_to_n,Bulk Layer C:N - mass percent,c_to_n,carbon to nitrogen ratio,value,
layer,,,c_to_n,,unit,mass mass-1
layer,loi,Bulk Layer Loss on Ignition - percent,loi,total mass loss on ignition,value,
layer,,,loi,,mass percent,
layer,root_quant_size,Root Quantity and Size -,root_quant_size,NA,value,
layer,root_weight,<2mm Root Mass - g,root_weight,mass of roots in sample,value,
layer,,,root_weight,,unit,g
layer,15n,Bulk Layer δ15N - permil,15n,15N isotope ratio,value,
layer,,,15n,,unit,permil
layer,13c,Bulk Layer δ13C - permil,13c,13C isotope ratio,value,
layer,,,13c,,unit,permil
layer,rc_lab,Radiocarbon Laboratory ID - (rc_lab),14c,NA,method,
layer,rc_lab_number,Radiocarbon Laboratory Sample Number -,14c,NA,method,
layer,rc_year,Radiocarbon Analysis Year - YYYY,14c,NA,method,
layer,rc_lab,,15n,,method,
layer,rc_lab_number,,15n,,method,
layer,rc_year,,15n,,method,
layer,rc_lab,,13c,,method,
layer,rc_lab_number,,13c,,method,
layer,rc_year,,13c,,method,
layer,14c,Bulk Layer Δ14C - permil,14c,14C isotope ratio,value,
layer,,,14c,,unit,permil
layer,14c_sigma,Bulk Layer Δ14C Standard Deviation - permil,14c,NA,sigma,
layer,,,14c_age,,unit,years
layer,14c_age,Bulk Layer Uncalibrated Radiocarbon Age - BP,14c_age,Age from 14C,value,
layer,14c_age_sigma,Bulk Layer Uncalibrated Radiocarbon Age Standard Deviation - BP,14c_age,NA,sigma,
layer,fraction_modern,Bulk Layer Fraction Modern -,fraction_modern,fraction of modern from other isotope,value,
layer,210Pb_age,,210Pb_age,,value,
layer,210Pb_error,,210Pb_age,,error,
layer,fraction_modern_sigma,Bulk Layer Fraction Modern Standard Deviation -,fraction_modern,NA,sigma,
layer,textureClass,Texture Class -,textureClass,texture class,value,
fraction,fraction_name,Fraction Sample Name -,NA,decrepit,,
fraction,fraction_number,Laboratory Fraction Number -,NA,decrepit,,
fraction,fraction_scheme,Fractionation Scheme - (fract_scheme),NA,decrepit,,
fraction,fraction_property,Fraction Property -,NA,decrepit,,
fraction,fraction_scheme_units,Fractionation Scheme Units -,NA,decrepit,,
fraction,fraction_type,Fraction Type -,NA,decrepit,,
fraction,fraction_agent,Fractionation Agent -,NA,decrepit,,
fraction,fraction_note,Fraction Notes -,NA,decrepit,,
fraction,fraction_c_perc,Fraction proportion of sample carbon - percent,NA,decrepit,,
fraction,fraction_mass_perc,Fraction proportion of sample mass - percent,NA,decrepit,,
gas,gas_name,Gas Sample Name -,NA,decrepit,,
gas,gas_number,Laboratory Gas Sample Number -,NA,decrepit,,
gas,gas_type,Gas Type - (gas_type),NA,decrepit,,
gas,gas_note,Gas Sample Notes -,NA,decrepit,,
gas,gas_time_series,Gas Time Series Name -,NA,decrepit,,
gas,c_method,Gas Carbon Analysis Method -,NA,decrepit,,
gas,collection_method,Gas Sample Collection Method - (core_pit),NA,decrepit,,
gas,collection_loc,Field Vs. Incubation -,NA,decrepit,,
gas,15n,Gas δ15N - permil,NA,decrepit,,
gas,c_conc_CO2,CO2 Concentration - ppm,NA,decrepit,,
gas,13c_CO2,Gas δ13C (C02) - permil,NA,decrepit,,
gas,14c_CO2,Gas Δ14C (C02) - permil,NA,decrepit,,
gas,14c_CO2_sigma,Gas Δ14C Standard Deviation (CO2) - permil,NA,decrepit,,
gas,14c_age_CO2,Gas Uncalibrated Radiocarbon Age (CO2) -,NA,decrepit,,
gas,14c_age_CO2_sigma,Gas Uncalibrated Radiocarbon Age Standard Deviation (CO2) -,NA,decrepit,,
gas,fraction_modern_CO2,Gas Fraction Modern (CO2) -,NA,decrepit,,
gas,fraction_modern_CO2_sigma,Gas Fraction Modern Standard Deviation (CO2) -,NA,decrepit,,
gas,c_conc_CH4,CH4 Concentration - ppm,NA,decrepit,,
gas,13c_CH4,Gas δ13C (CH4) - permil,NA,decrepit,,
gas,14c_CH4,Gas Δ14C (CH4) - permil,NA,decrepit,,
gas,14c_CH4_sigma,Gas Δ14C Standard Deviation (CH4) - permil,NA,decrepit,,
gas,14c_age_CH4,Gas Uncalibrated Radiocarbon Age (CH4) -,NA,decrepit,,
gas,14c_age_CH4_sigma,Gas Uncalibrated Radiocarbon Age Standard Deviation (CH4) -,NA,decrepit,,
gas,fraction_modern_CH4,Gas Fraction Modern (CH4) -,NA,decrepit,,
gas,fraction_modern_CH4_sigma,Gas Fraction Modern Standard Deviation (CH4) -,NA,decrepit,,
other,other_name,Other Sample Name -,NA,decrepit,,
other,other_number,Laboratory Other Sample Number -,NA,decrepit,,
other,other_type,Other Sample Type - (other_type),NA,decrepit,,
other,other_note,Other Sample Type Notes -,NA,decrepit,,
other,collection_method,Other Sample Collection Method - (core_pit),NA,decrepit,,
other,processing_method,Other Sample Processing Method -,NA,decrepit,,
other,plant_species,Plant Species -,NA,decrepit,,
other,root_live_flag,Roots Live/Dead -,NA,decrepit,,
other,root_quant_size,Root Quantity and Size -,NA,decrepit,,
other,compound_formula,Compound Chemical Formula -,NA,decrepit,,
other,compound,Compound Name -,NA,decrepit,,
disturbance,dist_clearcut_date,Forest clearcutting date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_clearcut_removal_type,Clearcut residue removal type - (dist_residue),NA,decrepit,,
disturbance,dist_clearcut_removal_perc,Clearcut residue percent removed - percent,NA,decrepit,,
disturbance,dist_clearcut_date_qual,Forest clearcutting date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_clearcut_date_note,Forest clearcutting date comments -,NA,decrepit,,
disturbance,dist_crop_residue_date,Crop residue management other than at harvest date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_crop_residue_type,Crop residue removal type - (dist_residue),NA,decrepit,,
disturbance,dist_crop_residue_perc,Crop residue percent remaining on the field - percent,NA,decrepit,,
disturbance,dist_crop_residue_date_qual,Crop residue management other than at harvest date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_crop_residue_date_note,Crop residue management other than at harvest date comments -,NA,decrepit,,
disturbance,dist_fire_date,Fire other than wildfire date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_fire_severity,Fire severity - (dist_fire),NA,decrepit,,
disturbance,dist_fire_date_qual,Fire other than wildfire date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_fire_date_note,Fire other than wildfire date comments -,NA,decrepit,,
disturbance,dist_fwd_removal_date,Fallen wood removal other than by underburning date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_fwd_removal_perc,Fallen wood removal percent removed - percent,NA,decrepit,,
disturbance,dist_fwd_removal_date_qual,Fallen wood removal other than by underburning date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_fwd_removal_date_note,Fallen wood removal other than by underburning date comments -,NA,decrepit,,
disturbance,dist_general_date,General disturbance date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_general_date_qual,General disturbance date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_general_date_note,General disturbance date comments -,NA,decrepit,,
disturbance,dist_grazed_date,Monthly grazing date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_grazed_spp,Grazing animal type -,NA,decrepit,,
disturbance,dist_grazed_stocking,Stocking rate of grazing animals -,NA,decrepit,,
disturbance,dist_grazed_live_weight,Estimated live weight of grazing animals -,NA,decrepit,,
disturbance,dist_grazed_onplot,Days per month grazing animals on the plot -,NA,decrepit,,
disturbance,dist_grazed_daynight,Day/night grazing animal management -,NA,decrepit,,
disturbance,dist_grazed_date_qual,Monthly grazing date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_grazed_date_note,Monthly grazing date comments -,NA,decrepit,,
disturbance,dist_harvest_date,Crop harvest date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_harvest_residue_type,Harvest residue removal type - (dist_residue),NA,decrepit,,
disturbance,dist_harvest_residue_perc,Harvest residue percent remaining on the field - percent,NA,decrepit,,
disturbance,dist_harvest_spp,Harvested species -,NA,decrepit,,
disturbance,dist_harvest_date_qual,Crop harvest date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_harvest_date_note,Crop harvest date comments -,NA,decrepit,,
disturbance,dist_herbicide_date,Application of herbicide date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_herbicide_type,Herbicide type -,NA,decrepit,,
disturbance,dist_herbicide_kgha,Applied herbicide amount - Kg ha-1,NA,decrepit,,
disturbance,dist_herbicide_date_qual,Application of herbicide date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_herbicide_date_note,Application of herbicide date comments -,NA,decrepit,,
disturbance,dist_insect_and_pathogen_date,Insects and pathogens date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_insect_and_pathogen_date_qual,Insects and pathogens date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_insect_and_pathogen_date_note,Insects and pathogens date comments -,NA,decrepit,,
disturbance,dist_irrigation_date,Irrigation date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_irrigation_water,Amount of irrigation water applied during irrigation - mm,NA,decrepit,,
disturbance,dist_irrigation_drain_depth,Irrigation drainage depth - m,NA,decrepit,,
disturbance,dist_irrigation_date_qual,Irrigation date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_irrigation_date_note,Irrigation date comments -,NA,decrepit,,
disturbance,dist_liming_date,Application of lime date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_liming_kgha,Applied lime amount - Kg ha-1,NA,decrepit,,
disturbance,dist_liming_date_qual,Application of lime date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_liming_date_note,Application of lime date comments -,NA,decrepit,,
disturbance,dist_m_fertilization_date,Mineral fertilization date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_m_fertilization_type,Type of mineral fertilizer - (dist_m_fert_type),NA,decrepit,,
disturbance,dist_m_fertilization_kgha,Amount of mineral fertilizer applied - Kg ha-1,NA,decrepit,,
disturbance,dist_m_fertilization_form,"Chemical form of mineral N, P and K applied - (dist_m_fert_form)",NA,decrepit,,
disturbance,dist_m_fertilization_method,Application methods for mineral fertilizer - (dist_m_fert_app),NA,decrepit,,
disturbance,dist_m_fertilization_date_qual,Mineral fertilization date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_m_fertilization_date_note,Mineral fertilization date comments -,NA,decrepit,,
disturbance,dist_natural_regeneration_date,Natural regeneration date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_natural_regeneration_type,Regeneration by planting or natural vegetation - (dist_regen),NA,decrepit,,
disturbance,dist_natural_regeneration_date_qual,Natural regeneration date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_natural_regeneration_date_note,Natural regeneration date comments -,NA,decrepit,,
disturbance,dist_o_fertilization_date,Organic fertilization date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_o_fertilization_type,Organic fertilizer type -,NA,decrepit,,
disturbance,dist_o_fertilization_kgha,Applied organic fertilizer amount - Kg ha-1,NA,decrepit,,
disturbance,dist_o_fertilization_c,Estimated total C content of the organic fertilizer - percent,NA,decrepit,,
disturbance,dist_o_fertilization_n,Estimated total N content of the organic fertilizer - percent,NA,decrepit,,
disturbance,dist_o_fertilization_method,Application methods for organic fertilizer -,NA,decrepit,,
disturbance,dist_o_fertilization_date_qual,Organic fertilization date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_o_fertilization_date_note,Organic fertilization date comments -,NA,decrepit,,
disturbance,dist_pesticide_date,Application of pesticide or insecticide date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_pesticide_kgha,Applied pesticide amount - Kg ha-1,NA,decrepit,,
disturbance,dist_pesticide_type,Pesticide type -,NA,decrepit,,
disturbance,dist_pesticide_date_qual,Application of pesticide or insecticide date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_pesticide_date_note,Application of pesticide or insecticide date comments -,NA,decrepit,,
disturbance,dist_planting_date,Sowing or planting date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_planting_seed,Seeds per hectare planted or sowed - N ha-1,NA,decrepit,,
disturbance,dist_planting_spp,Planted species -,NA,decrepit,,
disturbance,dist_planting_date_qual,Sowing or planting date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_planting_date_note,Sowing or planting date comments -,NA,decrepit,,
disturbance,dist_storm_date,Severe storm date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_storm_date_qual,Severe storm date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_storm_date_note,Severe storm date comments -,NA,decrepit,,
disturbance,dist_thinning_date,Thinning other than clear cutting date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_thinning_removal_type,Thinning residue removal type - (dist_residue),NA,decrepit,,
disturbance,dist_thinning_perc,Thinning percent of thinning - percent,NA,decrepit,,
disturbance,dist_thinning_basal_area,Percent of basal area after thinning -,NA,decrepit,,
disturbance,dist_thinning_date_qual,Thinning other than clear cutting date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_thinning_date_note,Thinning other than clear cutting date comments -,NA,decrepit,,
disturbance,dist_tillage_date,Tillage or site preparation date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_tillage_type,Tillage type - (dist_tillage),NA,decrepit,,
disturbance,dist_tillage_depth,Tillage depth - m,NA,decrepit,,
disturbance,dist_tillage_date_qual,Tillage or site preparation date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_tillage_date_note,Tillage or site preparation date comments -,NA,decrepit,,
disturbance,dist_ungrazed_date,Site was not grazed date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_ungrazed_duration,Number of months after the disturbance date that no grazing occurred -,NA,decrepit,,
disturbance,dist_ungrazed_date_qual,Site was not grazed date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_ungrazed_date_note,Site was not grazed date comments -,NA,decrepit,,
disturbance,dist_wildfire_date,Wildfire date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_wildfire_severity,Fire severity - (dist_fire),NA,decrepit,,
disturbance,dist_wildfire_date_qual,Wildfire date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_wildfire_date_note,Wildfire date comments -,NA,decrepit,,
disturbance,dist_underburn_date,Fallen wood removal by underburning date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_underburn_perc,Underburnning percent removed - percent,NA,decrepit,,
disturbance,dist_underburn_date_qual,Fallen wood removal by underburning date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_underburn_date_note,Fallen wood removal by underburning date comments -,NA,decrepit,,
disturbance,dist_windthrow_date,Wind throw date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_windthrow_perc,Wind throw percent removed - percent,NA,decrepit,,
disturbance,dist_windthrow_date_qual,Wind throw date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_windthrow_date_note,Wind throw date comments -,NA,decrepit,,
disturbance,dist_woody_encroachment_date,Woody encroachment date - YYYY-MM-DD or MM/DD/YYYY,NA,decrepit,,
disturbance,dist_woody_encroachment_date_qual,Woody encroachment date qualifier - (date_qual),NA,decrepit,,
disturbance,dist_woody_encroachment_date_note,Woody encroachment date comments -,NA,decrepit,,
